Descripcion
Claudia: Utiles Limpieza -12/03/2017- $87.00
Cesar: Pasajes -06/09/2015- $49.41
Cesar: Pasajes -04/01/2016- $37.65
Janet: Comprobantes -04/12/2017- $256.12
Carlos: Accesorios -02/08/2016- $42.40
Carlos: Accesorios -04/02/2016- $165.00
Lea: Pasajes -09/02/2016- $154.00
Claudia: Cables -02/08/2016- $48.13
Cesar: Pasajes -04/12/2017- $92.92
Janet: Combustible -04/07/2016- $390.69
Janet: Suministros -04/10/2015- $100.77
Miranda: Utiles Escritorio -05/07/2016- $67.00
Carlos: Hospedaje -08/12/2017- $203.36
Ivon: Pintura -07/07/2017- $155.59
Claudia: Suministros -01/07/2015- $42.67
Ivon: Repuestos -03/08/2016- $15.00
Lea: Pasajes -08/07/2016- $95.00
Miranda: Comida -07/03/2015- $35.53
Cesar: Accesorios -06/07/2016- $15.00
Lea: Pasajes -06/02/2017- $41.23
Janet: Suministros -06/05/2015- $139.00
Ivon: Combustible -12/02/2016- $299.00
Miranda: Utiles Escritorio -11/06/2017- $58.20
Rocio: Lubricantes -09/10/2015- $92.88
Janet: Suministros -06/08/2017- $196.00
Carlos: Accesorios -02/09/2015- $65.53
Miranda: Suministros -09/12/2015- $55.00
Ivon: Suministros -03/05/2015- $55.61
Carlos: Suministros -03/09/2016- $60.65
Miranda: Comida -02/04/2015- $52.67
Lea: Pasajes -12/01/2016- $28.29
Rocio: Asesoria -09/06/2017- $68.00
Miranda: Suministros -04/02/2017- $47.00
Claudia: Cables -05/05/2016- $102.00
Cesar: Pasajes -03/05/2015- $56.26
Janet: Combustible -01/02/2017- $212.71
Carlos: Suministros -04/03/2015- $75.13
Lea: Pasajes -08/03/2015- $66.00
Ivon: Repuestos -08/09/2015- $20.00
Claudia: Suministros -10/05/2016- $49.97
Claudia: Cables -02/06/2017- $45.99
Ivon: Suministros -04/06/2017- $60.02
Carlos: Combustible -10/01/2015- $98.75
Ivon: Suministros -03/06/2017- $112.00
Carlos: Suministros -10/06/2017- $62.81
Ivon: Pintura -09/01/2017- $244.00
Miranda: Utiles Escritorio -09/04/2017- $73.00
Cesar: Accesorios -08/06/2017- $178.00
Claudia: Utiles Limpieza -04/11/2017- $49.00
Lea: Accesorios -11/04/2017- $64.00
Janet: Comprobantes -08/07/2017- $328.10
Ivon: Suministros -04/04/2017- $60.70
Cesar: Accesorios -10/08/2017- $117.00
Ivon: Combustible -01/10/2016- $72.68
Ivon: Combustible -06/10/2016- $144.00
Carlos: Hospedaje -01/01/2017- $227.94
Ivon: Combustible -11/05/2017- $109.00
Ivon: Repuestos -04/04/2015- $59.43
Cesar: Pasajes -12/08/2016- $60.23
Rocio: Accesorios -04/01/2015- $51.32
